url,headline,summary,image,favorite,user id
https://scotch.io/tutorials/build-a-meal-ticketing-app-with-graphql-and-apollo-react-hooks,Build a Meal Ticketing App with GraphQL and Apollo React Hooks,"A meal ticket tracker allows you to issue digital meal tickets to attendees and not rely on paper tickets. You can still give them the ticket, but also have a system that tracks if the ticket has been used or not. When an attendee is served a meal, you can invalidate the ticket and the ticket cannot be reused. This way, attendees that forget their tickets can use an ID like badge to claim their meal.",https://scotch-res.cloudinary.com/image/upload/v1574705877/scbye92auyvobvsmw1ah.png,TRUE,2
https://scotch.io/starters/react/getting-started-with-react-2019-edition?ref=home-start-here,Getting Started with React (2019 Edition),"Much has changed since React came out and now is a great time to jump into the React fray. React is mature and has been used across the web in places like Facebook, Instagram, Airbnb, Uber, and much much more. Let's dive in!","https://scotch-res.cloudinary.com/image/upload/dpr_1,w_550,q_auto:good,f_auto/v1578085366/gftlo8rkhfhkypztned8.png",FALSE,1
https://scotch.io/tutorials/master-vscode-file-editing-multi-cursor-workflows,Master VSCode File Editing Multi Cursor Workflows,"I am going to share three types of power user workflows today. All of these can be used while editing lines of code, similar words , and my personal favorite; workflows of using multiple cursors.","https://scotch-res.cloudinary.com/image/upload/w_1050,q_auto:good,f_auto/v1575314448/to2dzkmtwxnumjuhxxuw.jpg",TRUE,3
https://www.youtube.com/watch?v=sppSnBQVt0k,"Front End Web Developer Guide 2020
",This is the ultimate guide on how to become a front end web developer in 2020 and beyond. This one video will detail,https://i.ytimg.com/vi/sppSnBQVt0k/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCuzToAmHvAEzRTFHufJuwHhGWZ0Q,FALSE,4
https://www.youtube.com/watch?v=sBws8MSXN7A&t=9s,"React JS Crash Course
","In this crash course you will learn what React JS is and the fundamentals such as components, state, props, JSX, events, etc. ",https://i.ytimg.com/vi/sBws8MSXN7A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB6yE1WpYFAzqxZsOQ_iOCgftVphA,FALSE,1
https://www.youtube.com/watch?v=c-I5S_zTwAc,JAVASCRIPT in just 5 MINUTES (2020),"Learn the most important parts of 2020 Javascript in just 5 minutes 🤯

You'll have to go deeper on all these topics, but this is a must-watch if you're looking to get started, test your knowledge, or review.

A lot of JS info goes out of date fast, because the languages changes really fast, as of late 2019 / early 2020 this is up to date.",https://i.ytimg.com/an_webp/c-I5S_zTwAc/mqdefault_6s.webp?du=3000&sqp=COGc7fAF&rs=AOn4CLCa982C3rlqVLr0hKPbrA0SvZbuPQ,TRUE,1
https://www.youtube.com/watch?v=TlB_eWDSMt4&t=3490s,"Node.js Tutorial for Beginners: Learn Node in 1 Hour | Mosh
",Node.js Tutorial for Beginners: Learn Node in 1 Hour,https://i.ytimg.com/an_webp/TlB_eWDSMt4/mqdefault_6s.webp?du=3000&sqp=CKiX7fAF&rs=AOn4CLCkMpY40cdWvX1hN2S3KffXb02azg,TRUE,2
https://www.youtube.com/watch?v=U9T6YkEDkMo,Build a Recipe App With React | React Tutorial For Beginners,We are going to take the basics of react and we are going to create a real world application. We are going to learn how to build a food recipe application using only react.,https://i.ytimg.com/an_webp/U9T6YkEDkMo/mqdefault_6s.webp?du=3000&sqp=CJyS7fAF&rs=AOn4CLAzk274IaOp3TYBnXCTECQW0fdoiw,FALSE,1
https://www.youtube.com/watch?v=OxIDLw0M-m0&list=PL4cUxeGkcC9ij8CfkAY2RAGb-tmkNwQHG,Complete React Tutorial (with Redux),"Hey gang, welcome to your very first React tutorial for beginners (including Redux)! In this course we'll be learning what React is and how to use it to make awesome, reactive SPA's. We'll also look at how we can use Redux to help with our app's state management.",https://i.ytimg.com/vi/HKU24nY8Hsc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBKwMF2RwLwHPriwinJIoN-i5-Krg,FALSE,1
https://www.youtube.com/watch?v=hQAHSlTtcmY,Learn React In 30 Minutes,"In this video I will be covering all of the basics of React in only 30 minutes. We will cover create-react-app, components, state, props, rendering, event handling, and so much more. By the end of this video you will have a full understanding of the basics of React, but if you want to take your React knowledge to the next level checkout my full React course linked above for the best React learning experience on the web.",https://i.ytimg.com/vi/hQAHSlTtcmY/0.jpg,FALSE,1
